NUM,EXPECTED,C2M16A_qwerty,# characters,edit distance
1,我個名叫,我個望叫,4,1
2,一,一,1,0
3,十六,十六,2,0
4,歲,歲,1,0
5,計唔計埋嗰啲,計U計埋U捏U我嗰啲,6,5
7,一個媽咪一個爹哋一個家姐啦,由個媽咪一個爹爹一個家姐啦,13,2
8,跟住我啦,撳仲有我啦,4,3
9,然後跟住一,完後跟住一,5,1
10,個,個,1,0
11,一個姑媽一個,一個姑媽一個,6,0
12,姑丈跟住有,姑橡跟住有,5,1
13,大伯,大伯,2,0
14,伯娘,八涼,2,2
15,跟住嗰啲咩呀,跟住有啲咩,6,2
16,婆婆同嬷,破婆同嫲,4,2
17,婆婆嬷嬷,破婆嫲嫲,4,3
18,公公囉,共公囉,3,1
20,係呢度多倫多,喺哩度多輪多,6,3
21,而家,而家,2,0
22,出世,出細,2,1
24,都係一樣,都係一樣,4,0
25,媽咪爹哋同家姐,媽咪爹爹同家姐,7,1
26,香港,香港,2,0
27,兩個都係,兩個都係,4,0
28,幫,幫,1,0
29,兩個都係好似番學,兩個都係好次返學,8,2
30,啫係,她係,2,1
31,係囉,係囉,2,0
32,係,係,1,0
34,係,係,1,0
35,而家定細個嗰陣時,而家定細個個陣時,8,1
36,而家,而家,2,0
37,唔知打機,U之打機,4,2
38,或者出去行街冇乜,或嘢出去行街冇乜,8,1
39,冇乜做,冇乜做,3,0
40,細個,細個,2,0
41,咪,咪,1,0
42,都係一樣啦,都係都係一樣啦,5,2
43,有,有,1,0
44,細個三歲嗰時候番過香港,細個三歲咗時候番個香港,11,2
45,然後跟住,完後跟住,4,1
46,六歲九歲或者十,六歲九歲或嘢十,7,1
47,歲唔記得,歲U記一,4,2
48,去過美國啦,去個美角啦,5,2
49,跟住都冇乜啦,跟住都冇乜呀,6,1
50,鐘意,鍾意,2,1
51,冇,冇,1,0
52,咁我鍾意呢度囉,噉我鍾意哩度,7,3
53,乜嘢都有,乜嘢都有,4,0
54,總之,總之,2,0
55,冇原因啦,冇完因,4,2
56,停電都有,停電都有,4,0
57,但係少啲囉,但係小啲囉,5,1
58,未有,未有,2,0
59,你應該知架有一次,理應該嗤嘍有一次,8,3
60,最停電最勁嗰次,最停電最勁個次,7,1
61,零四年好似,零四年好次,5,1
62,唔記得,U記一坐,3,3
63,零三定零四,零三定擰四,5,1
64,唔記得,U記一,3,2
65,平時有啲大少嘅,平事有啲大小嘅,7,2
66,平時有啲停電得少少,平時有啲停電都少少,9,1
67,我,我,1,0
68,都係都有機打下,都係都有機打打,7,1
70,或者攞部出黎睇戲,或者攞部辣U出離睇戲,8,3
71,瞓覺,瞓覺,2,0
72,搵嘢食食曬啲雪糕或者雪條,搵嘢食食晒啲雪糕或嘢雪跳,12,3
73,因為會溶,因為會溶,4,0
74,冇,冇,1,0
75,冇架,冇呀,2,1
76,我間屋企好好,我間屋企好好,6,0
77,好,好呀,1,1
78,有,有,1,0
79,扭計買嘢啦,樓偈買嘢啦,5,2
80,駁嘴啦,駁咀啦,3,1
81,都冇乜架,都冇乜個呀,4,2
83,都有嘅有,都應該有嘅有,4,2
85,擺喺度,白喺度,3,1
86,嗰啲,嗰啲,2,0
87,有時就,有時就,3,0
88,啱嘅打得,啱嘅打,4,1
89,我多數都打得啱嘅,我多數刀打乜啱嘅,8,2
90,睇下做錯乜嘢啦,睇吓李做錯乜嘢,7,3
91,啱啱提過下,啱啱題個吓,5,3
92,駁嘴啦,駁咀啦,3,1
93,都冇乜架啦,都冇乜個呀,5,2
94,都唔記得啦,都U記一吖,5,3
95,因為好耐都冇做錯嘢囉,因為好U都冇做錯嘢囖,10,2
96,冇,冇,1,0
97,未試過出事喎,未試個出事喎,6,1
99,好大件事定定小事,好大件事定定小事,8,0
100,都有,有嘅,2,2
101,有,有,1,0
102,如果我出事都係佢係佢地先出事架姐,如果我出事都係佢係佢哋先出事個啫,16,3
103,啫係喺佢地面前做錯嘢咁就出事啦,他係喺佢哋面前做錯嘢個度出事啦,15,4
104,邊個黎架,邊個離呀,4,2
Total CER: 113/429=0.26,,,,
