NUM,EXPECTED,C2F21C_qwerty,# characters,edit distance
4,廿一歲
5,係呀媽咪爹二
6,同賣家姐
7,張董
10,三歲嗰陣
11,擔四歲
15,地家
16,淨係同個媽咪住
17,倒爹字喺張董
18,我家姐喺做赶工
20,噹兩個都喺張董
22,因為
23,因為
31,香董回歸
38,倒乜因為
39,我婆婆公公已經喺度一陣
41,唔知道
42,到眉出細佢已經離咗佢哋離哩度離咗
43,因為
44,我唔係好知度
45,筆個可能因為佢哋已經咗
47,底個
49,對行
50,住
53,我去個
54,澳洲
56,倒去個
59,叮國
61,地國叮啄地對U對
62,啲大地
68,因為好
69,好
70,好
71,好唔同我哋
72,啦拿大囖
73,啲
74,好
77,我去個
78,我去細全部除咗
80,啲
81,佢好好多人
83,好成市
84,錦鯉多好多車
86,倒
87,是但
88,到去度邊度就去都邊都我冇淋冇真係飲個
91,對
92,對睇戲或謝去朋友屋企玩
93,倒有
95,都差唔多
98,因為通常喺我朋友揸車
99,地我楂我通常揸車去返工
100,去
101,因為通常番學
102,單學
103,唔係太好
104,成日慢
105,到要番學嗰真又會遲到
106,乜過有時都可以好快嘅
109,去叮俊嗰度
110,都記塊好多
111,但係都有好多
112,貴好多
113,戴好多
114,張董
115,張洞嗰度好快
117,倒我
118,我唔記特喇
121,啩
122,倒唔
123,冇
129,倒呀
131,到上個禮拜兩個禮拜前
132,有個
135,十唔分鐘道囖唔係好多囖
138,我覺得唔同
139,佢哋而家啲細路
140,好次
141,唔係好
143,譬如佢哋而家冇我哋咁
145,佢哋好似嗰嗰都玩
146,唔會彈
148,跳醒
151,佢哋好似
152,好細個都係
153,但係我哋舊事細個好似唔係太
157,佢哋而家細個細
159,佢哋而家細個
160,啲都好似好咁樣
163,著啲衫
164,啲歌囖
165,哥
166,似
167,有啲啲壞
169,我冇襪呀
170,到媽總之我
171,媽咪知度媽咪爹二之度我喺邊度
172,佢哋都唔我去邊度
173,倒
174,可浪細個
176,到冇做錯嘢嗰真
178,倒
180,冇
183,倒唔知呀
184,如果我會話都會話俾媽咪聽
185,如果係
187,好好人
190,佢好
192,我係個細路
194,佢都好好人佢都好
196,好
198,倒爹二都好好人
199,但係我唔係成日見佢
200,小啲機會不過
201,我鍾意同佢講軍U踢波
203,倒佢哋話我想做咩就做咩
204,到想做個
207,係遮係
208,李同人
209,有
210,幫佢哋返囖
211,因為我鍾意同人做遮係我想做個係同人一齊關起嘅
212,我又但係我又
213,我嗰真讀咗個
214,抌我有覺得好多好
215,落去
216,我而家係
219,倒乜嘢嘅
220,朵個細路成日都好奀皮
221,我有時幫我去個個度
222,做啲
226,有個啲都唔係我我鍾意𠸏因為我係鍾意同細U掣一齊
227,第囖
229,都會嘅啲同唔同人去啫係睇
231,倒林我都會我會梯吓到可唔可以可能
232,可浪咁樣去照顧佢哋如嗰有啲我都可以
233,睇吓囖
235,佢哋可以繼續做嘢嘅
236,我唔覺得係一定要女人流係屋企
237,個老個
238,睇下睇吓佢哋點樣囖我覺得每個都唔同囖
240,到我唔覺得太怪
241,一個
242,有時啲
247,倒返個
248,到喺張董返個一連
249,到唔知幾多連
250,一一連兩連
251,我係喺張擋跟住個離
253,我淨係記得一個因為我好鍾易佢
254,第二啲我就嫲麻哋記得
255,係好好人
257,倒唔係好記得點嚿我蒸係中易佢啫係我覺得
258,啲好好玩啩
259,係好好人
261,到又我最鍾意嗰個係我係一樣個先生
262,佢
265,同我哋好佢唔係淨係遮係我哋又
266,就又一個先生
267,唔會做啲嘢
268,佢又同我哋好得好多
269,我哋佢會好似一個朋友噉樣同我哋傾偈
270,到而家我都重係同佢有試聯咯
272,有一次
273,嗰時係佢
278,到喺班房同我坐先生夠緊唔知定
280,有個藍掣
281,我哋成個角得好
284,個先生話唔浩笑
286,佢U好
287,佢真係好嬲
294,舞林又係同
296,遮係
297,冇一個
299,預果
300,遮係上做咩理又冇
301,李自蓋去出去
302,但係理又
303,係但係
306,理唔需要
307,遮係預果理微之度理上做咩
309,讀多啲書去
310,有時
311,你唔好只係噉讀又讀又讀一路唔出去
315,李想做咩工
316,啲有時要多啲有時要笑啲
317,如過理運度一個嘢
320,理可以即刻出梨已經做
321,可以理理咪做
322,到一定要佢哋讀
324,中中學
326,大學我會真係好
327,會想佢哋讀但係如過佢哋
328,遮係
330,唔識合佢哋嚇者
331,佢哋運度一個係嗰啲噉我都匯一樣噉開心
332,倒呀
333,倒呀
336,會想
341,喺個嗰度結婚囖
342,白色裙
345,第呀我係
346,地呀
347,我哋連連去我
348,我啲表第嗰啲屋
349,佢屋度
350,倒哋會食
351,調呀跟蛀我哋
352,開禮物
354,到上連攞咗好多
355,冇咩揼第特別
356,但係我公公破婆臂咗個
357,我睇咗好多戲
359,躲嗰都記好U可以成連用
360,吓
362,有呀
363,倒哋會去
364,一個
365,通常一個
368,讀活土
369,我
370,到唔知我有冇真係信佢嚹
371,佢同一隻兔仔
372,派糖
373,聖誕爐人我有信我家姐
374,到好細個嗰真家姐話比我聽係假
375,嗰真我就冇信因為好次佢話
376,將擋我哋個冇煙通𡃉
377,佢話一定冇聖誕爐人
380,我信咗記連冇嚹
381,倒呀
383,倒唔知我有冇
385,到媽咪
386,媽咪第耳啲媽咪會秘
387,倒冇架
388,倒甩咗隻牙就甩咗
390,到唔信鬼但係
391,我睇完出氣我會好驚
393,有唔我唔
394,如果太黑嗰陣喺啲
395,我淋我淋我都唔會中耳
398,倒而架冧唔度
400,唔唔係咪我發生
401,爹係
405,有呀不過我耳有時
406,好多時我人哋講完嘢我以為淨個已經見個
408,不過呀有時人哋話係因為理個理個有啲
410,唔知係咪真𡃉
413,動意
415,有時李唔可以真係啲嘢
416,啲嘢會發生
423,要等度一個人
424,理唔可以坐喺度等
425,命運
427,我覺得係唔係理淨係噉U喺度噉啲嘢就會發生就會發生你係要一路做嘢
431,到細個嗰陣好好運好好運到咩都淨
432,嗰啲嘢
433,病個好多次喇
434,舞而家冇真係嗰啲去試
435,我細個嗰陣
436,學校有個我哋要行兩次我兩個都淨晒
439,跟蛀玩者我
440,嗰啲佢哋
441,擺理個秋籤我U個幾次嗰啲嘢
443,但係我而家我冇我冇試個玩我唔知道我又唔敢特燈試
